"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2017","2017","All Injury","4219","4874747","86.55","84.9325194825688"
"Both Sexes","All Races","Alaska","Both","All Ages","2017","2017","All Injury","749","739795","101.24","106.048638860716"
"Both Sexes","All Races","Arizona","Both","All Ages","2017","2017","All Injury","6128","7016270","87.34","83.2485225342838"
"Both Sexes","All Races","Arkansas","Both","All Ages","2017","2017","All Injury","2622","3004279","87.28","85.2791703074926"
"Both Sexes","All Races","California","Both","All Ages","2017","2017","All Injury","20508","39536653","51.87","49.3333476413108"
"Both Sexes","All Races","Colorado","Both","All Ages","2017","2017","All Injury","4545","5607154","81.06","79.6335599561415"
"Both Sexes","All Races","Connecticut","Both","All Ages","2017","2017","All Injury","2627","3588184","73.21","67.5364375213407"
"Both Sexes","All Races","Delaware","Both","All Ages","2017","2017","All Injury","802","961939","83.37","82.4808149214526"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2017","2017","All Injury","617","693972","88.91","86.2206713037671"
"Both Sexes","All Races","Florida","Both","All Ages","2017","2017","All Injury","17741","20984400","84.54","77.1187701130178"
"Both Sexes","All Races","Georgia","Both","All Ages","2017","2017","All Injury","7083","10429379","67.91","67.7057618987379"
"Both Sexes","All Races","Hawaii","Both","All Ages","2017","2017","All Injury","882","1427538","61.78","55.5268261576836"
"Both Sexes","All Races","Idaho","Both","All Ages","2017","2017","All Injury","1349","1716943","78.57","78.0621450072563"
"Both Sexes","All Races","Illinois","Both","All Ages","2017","2017","All Injury","8765","12802023","68.47","65.672912597609"
"Both Sexes","All Races","Indiana","Both","All Ages","2017","2017","All Injury","5708","6666818","85.62","84.8184942862945"
"Both Sexes","All Races","Iowa","Both","All Ages","2017","2017","All Injury","2162","3145711","68.73","62.7334719220962"
"Both Sexes","All Races","Kansas","Both","All Ages","2017","2017","All Injury","2342","2913123","80.39","75.9003270657054"
"Both Sexes","All Races","Kentucky","Both","All Ages","2017","2017","All Injury","4446","4454189","99.82","99.6486007681093"
"Both Sexes","All Races","Louisiana","Both","All Ages","2017","2017","All Injury","4270","4684333","91.15","90.8826270271773"
